一;one;In Chinese characters, the number **one** is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.;* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of _floor_ or _ceiling_ , depending on its position: if it stands above another primitive, it means _ceiling_ , if below, _floor_.;1) [[Piitaa](http://kanji.koohii.com/profile/Piitaa)] 29-6-2006(263): **One** down, 2041 to go. ,).;2) [[findus](http://kanji.koohii.com/profile/findus)] 11-5-2008(98): To learn this **one** kanji, I [recommend](../v4/2000.html) (#2000 薦) this story : _Bambi_ is in a _cave_ , eating a side-dish of _salad_ when trying to learn the kanjis. As he succeed to learn the kanji for "one", you get jealous and decide to shoot him with a _slingshot_. At this moment you hear the police coming, so you hurriedly burn all the proofs into a _fire_ (so you remove the key-words _Bambi_ , _slingshot_ and _fire_ from _recommend_ ). So that when the police arrives, the only remaining clue is a single horizontal bar.;3) [[diracbracket](http://kanji.koohii.com/profile/diracbracket)] 27-2-2008(93): This **one** is too difficult to remember. If the other Kanji are this difficult, I'm giving up.;4) [[breton](http://kanji.koohii.com/profile/breton)] 10-10-2007(44): A sleeping Roman I. ,).;5) [[MeisterLlama](http://kanji.koohii.com/profile/MeisterLlama)] 29-4-2009(36): Tips for your journey:1)check the keywords (for example with saiga-jp kanji dict or jisho.org or <http://dic.yahoo.co.jp> \+ rikaichan). heisig messes up a lot. 2)you'll get mixed up if you use too many penis euphemisms. i try to stick with just "crotch" for penis. 3)try to use the right meaning of the keyword in your stories. for example 抄 "extract" is like an excerpt, not the verb extract.
音;sound;The kanji for **sound** depicts something _standing_ in the air over a _tongue wagging in a mouth_ , much the same as a **sound** does for the briefest of moments before disappearing.;* The primitive from this kanji also means simply a sound.;1) [[Aploosh](http://kanji.koohii.com/profile/Aploosh)] 23-8-2007(201): If you were standing on the sun, believe me, you'd be making **sound**.;2) [[HMiettinen](http://kanji.koohii.com/profile/HMiettinen)] 21-10-2007(75): The _tongue wagging in a mouth_ produces a very high-pitched **sound** , breaking a nearby _vase_.;3) [[wazato](http://kanji.koohii.com/profile/wazato)] 1-10-2007(62): Imagine the **SOUND** s a woman makes as she is STANDing above a WAGGING TOUNGE.;4) [[astgtciv](http://kanji.koohii.com/profile/astgtciv)] 23-12-2006(27): Note that **sound** is very close to the **muzzle** primitive (it has the _sun_ instead of the _mouth_ at the bottom) - but in meaning they are precisely opposite!;5) [[romanrozhok](http://kanji.koohii.com/profile/romanrozhok)] 16-6-2008(21): I STAND UP every DAY to the **SOUND** of [insert **sound** here].
暗;darkness;When " **darkness** covered the earth " at the beginning of time, there was neither _sun_ nor _sound_.;;1) [[DrWarrior12](http://kanji.koohii.com/profile/DrWarrior12)] 5-9-2007(160): Picture the sun exploding - there would be a gigantic noise and then…nothing. Everything would plunge into **darkness**.;2) [[sarek05](http://kanji.koohii.com/profile/sarek05)] 20-6-2008(63): In places of complete **darkness** , such as caves where the _sun_ can't reach, creatures such as bats have learned to navigate by _sound_ rather than sight. The poor guys must have to fly around screaming "Marco!" and "Polo!" all the time.;3) [[eatyoda](http://kanji.koohii.com/profile/eatyoda)] 6-9-2008(45): Total **darkness** lacks _sun_ and _sound_.;4) [[AndamanIslander](http://kanji.koohii.com/profile/AndamanIslander)] 6-4-2008(36): In the **darkness** of that dank solitary confinement cell, all you can do is fantasize about _sun_ and _sound_.;5) [[wasurenaide](http://kanji.koohii.com/profile/wasurenaide)] 8-8-2007(29): Heisig was careless with his story for [silence](../v4/240.html) (#240 黙). i have a really hard time confusing it for this one now.
韻;rhyme;Poetry restricted to verses that **rhyme** often finds it has to abandon clarity of thought in order to make the **rhyme** of the words work. In this kanji's picture, one becomes a kind of  " _sound-employee_. ";;1) [[Nukemarine](http://kanji.koohii.com/profile/Nukemarine)] 6-8-2007(106): What is a **RHYME** but some SOUND that EMPLOYEES say to get them through work.;2) [[matt_jenkins](http://kanji.koohii.com/profile/matt_jenkins)] 24-3-2008(87): Dr Seuss's _employee_ finally rebels against him: "I'm tired of odd _sounds_ all the time, I will not, cannot, speak in **RHYME**!".;3) [[Alunalun](http://kanji.koohii.com/profile/Alunalun)] 4-7-2009(56): A **rhyme** is the _sound_ of an _employee_ going off to work. Everyone knows that ever since 'Snow White' in 1937 all employees sing 'hi ho, hi ho, it's off to work I go' (because it's so catchy! And it's so catchy because 'ho' **rhyme** s with 'go'!).;4) [[synewave](http://kanji.koohii.com/profile/synewave)] 2-7-2006(40): " _Sound_ as a pound" is a **rhyme** that fits the kanji. _Sound_ \+ pound. Pounds being what you make when you're an _employee_ (living in the UK that is).;5) [[Immacolata](http://kanji.koohii.com/profile/Immacolata)] 12-1-2006(34): Employees of The Ministry of Sound are paid to **rhyme** every day.
識;discriminating;A person of **discriminating** intellect can tell the difference between mere _kazoo_ -buzzing and _words_ spoken wisely.;;1) [[amthomas](http://kanji.koohii.com/profile/amthomas)] 15-3-2007(261): _Words_ are difficult to discriminate/discern from _sounds_ in the middle of a _fiesta_.;2) [[dwhitman](http://kanji.koohii.com/profile/dwhitman)] 14-2-2008(72): I have **discriminating** taste. I'd rather listen to the _words_ of a lecture than attend a _kazoo_ concert. (Picture some snobby guy in a tweed jacket turning up his nose at entering a loud raucous kazoo recital).;3) [[esaulgd](http://kanji.koohii.com/profile/esaulgd)] 28-1-2007(59): I wonder why Heisig didn't use **discernment** for this kanji. It fits the meaning equally and it is not as loaded as **discrimination**. // It is quite hard to **discern** _words_ in the middle of a _noisy fiesta_.;4) [[jabberwockychortles](http://kanji.koohii.com/profile/jabberwockychortles)] 10-5-2009(14): **Discriminating** someone's _words_ from other sounds is hard to do in the middle of a _noisy fiesta_. (Thanks esaulgd).;5) [[dihutenosa](http://kanji.koohii.com/profile/dihutenosa)] 31-8-2007(12): Socrates has apparently joined the KKK, and is actively **discriminating** against Black people. But to add a bit of artistic flair, as the ancient Greeks were wont to do, he says his racist words through a kazoo. _Socrates_ humming the n- _word_ through a _kazoo_ \- who would have thought?
鏡;mirror;After lakes but before glass, polished _metal_ was used for **mirrors**. These _metal mirrors_ are recalled in this character for a **mirror**.;;1) [[AndamanIslander](http://kanji.koohii.com/profile/AndamanIslander)] 3-2-2008(270): **Mirror** should suggest vanity. Imagine a spoiled girl who gets her parents to buy her a _Golden_ **mirror** so she can _stand_ in front of it all _day_ vainly admiring her lovely _human legs_.;2) [[digicult](http://kanji.koohii.com/profile/digicult)] 16-4-2009(23): The _metal_ **mirror** makes a _sound_ \- it's answering the question "who has the fairest _human legs_ of all?".;3) [[tritonxginnenglish](http://kanji.koohii.com/profile/tritonxginnenglish)] 5-10-2006(23): _metal + stand up + sun + legs_ remember the legend of **Amaterasu** who retired in a cave. the other Gods brought a **MIRROR** made of polished **METAL** at the entrance of the cave. Amaterasu who was **STANDING UP** saw her image of the **SUN** and began to dance with her **LEGS**.;4) [[matt_jenkins](http://kanji.koohii.com/profile/matt_jenkins)] 13-4-2008(12): Remember how Archimedes burnt an approaching fleet with **mirror** s? **Mirror** s then were _metal_ and the sailors must have thought: "What're those _metal_ things up there, _standing_ on the city walls? They look like _little suns_ on _human legs_. Warm today isn't it?".;5) [[Codexus](http://kanji.koohii.com/profile/Codexus)] 9-12-2007(11): WARNING: Be extra careful not to confuse the _sun/tongue-wagging mouth_ and _human legs_ part of the **mirror** primitive with 見 [see](../v4/57.html) (#57 見).
境;boundary;Imagine the **boundary** of a plot of _land_ marked with gigantic _mirrors_ enabling the landowner to keep trespassers in sight at all times.;;1) [[nyquil](http://kanji.koohii.com/profile/nyquil)] 13-3-2007(195): In the dense cities of Japan even a small garden is a luxury. In this house, the owner has put _mirrors_ on the **boundary** of his _land_ so it feels much bigger.;2) [[brose](http://kanji.koohii.com/profile/brose)] 16-12-2006(108): This is an old trick to keep out migrants. You put a bunch of dirty mirrors on the **boundary** of your land and theirs. When they approach the **boundary** , what they see in the mirror is their own land and someone that looks like themselves, only dirtier, so they figure your country isn't any better than their own and they head back home.;3) [[Danieru](http://kanji.koohii.com/profile/Danieru)] 25-1-2008(33): **Boundaries** and borders (another meaning of this kanji) used to be protected by daggers and swords (see **environs** , frame 284), but today our _lands_ are protected by one-way _mirrors_ at airport customs with video cameras and interrogation rooms behind them.;4) [[tstuhldreher](http://kanji.koohii.com/profile/tstuhldreher)] 6-6-2008(20): In Japan, you often see MIRRORS at intersections. That's because the walls that form the **boundary** of people's LAND make it hard to see around corners.;5) [[Rujiel](http://kanji.koohii.com/profile/Rujiel)] 30-7-2009(19): Be aware the right-hand character 竟 really means "endpoint" or "finally", it's commonly read "つい" (as in "ついに") and usually written in kana alone. A **boundary** represents a country's _land_ 's _endpoint_ (awkward phrasing for order) .
亡;deceased;A _top hat_ hanging on a _hook_ in the front hall, right where the **deceased** left it the day he died, reminds us of him and his kanji.;* In addition to _deceased_ , the primitive meaning of _to perish_ will also be used for this character.;1) [[cheechuan](http://kanji.koohii.com/profile/cheechuan)] 29-10-2007(124): The _top hat_ hanging on a _hook_ belonged to the now **deceased** Charlie Chaplin.;2) [[Robatsu](http://kanji.koohii.com/profile/Robatsu)] 5-3-2009(43): The recently **DECEASED** are said to hang their _hats_ on a _hook_ by the door to the afterlife.;3) [[ihatobu](http://kanji.koohii.com/profile/ihatobu)] 14-8-2007(16): Tophat resting on top of a tombstone. The horizontal bottom line is the shadow of the tombstone (and/or hat) on the ground.;4) [[mezbup](http://kanji.koohii.com/profile/mezbup)] 16-12-2008(10): I think of this as a pictograph of a coffin.;5) [[terozen](http://kanji.koohii.com/profile/terozen)] 25-3-2012(6): The **deceased** 's _top hat_ still hangs on his old _fish hook_ … It makes me sad every time I see it, but I will never take that hat down.
盲;blind;If one's _eyes perish_ before death, one remains **blind** for the rest of life.;;1) [[narafan](http://kanji.koohii.com/profile/narafan)] 18-7-2007(156): Deceased eyes! Easy ,).;2) [[tgray88](http://kanji.koohii.com/profile/tgray88)] 4-10-2008(73): A person with _deceased_ _eyes_ is **blind**.;3) [[billyclyde](http://kanji.koohii.com/profile/billyclyde)] 18-7-2007(18): Rather than "dead eyes," break down DECEASED into TOPHAT and FISHHOOK, and picture each **blind** person's EYES as being unable to see because their eyes are covered with a TOP HAT, that's attached to a FISHHOOK stabbed in their eyeballs.;4) [[misha](http://kanji.koohii.com/profile/misha)] 25-7-2007(10): I keep messing up the order of the primitives here. To emphasise the position, imagine the **blind** person wanting to take his _top hat_ off the _hook_. Before he does that, though, he needs to re-attach his _eye_ balls, which are rolling around on the floor.;5) [[crayonmaster](http://kanji.koohii.com/profile/crayonmaster)] 8-2-2009(3): The **blind** man could not see anything with his EYES, but he claimed, when he looked up, he could see the DECEASED existing above.
妄;delusion;The "ideal _woman_ " one daydreams about is no more than a **delusion**. Hence, _perish_ the thought of her.;;1) [[Georgi87](http://kanji.koohii.com/profile/Georgi87)] 7-10-2007(227): I had a problem with remembering that "deceased" went over the "woman". So, here's my story: The **delusion** al woman was carrying her deceased husband on her back.;2) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 27-4-2007(84): If you think you should _perish_ for that _woman_ , you have a major **delusion**.;3) [[Transtic](http://kanji.koohii.com/profile/Transtic)] 13-1-2008(65): Remember "The Corpse Bride"? Well, she is under the **DELUSION** that someday someone will marry her. Too bad that nobody wants to marry a **dead** **woman** .;4) [[nesert](http://kanji.koohii.com/profile/nesert)] 29-10-2009(31): Romeo held the **delusion** that Juliet was a _deceased woman_.;5) [[kanjihito](http://kanji.koohii.com/profile/kanjihito)] 13-3-2011(28): He cared for her so much that he had **delusion** s that the _deceased_ _woman_ , who was 6 feet under, was still with him.
荒;laid waste;The _flowers_ that _perish_ in the _flood_ are taken here as symbols of an area that has been **laid waste**.;;1) [[Zarxrax](http://kanji.koohii.com/profile/Zarxrax)] 13-4-2008(214): After Godzilla **laid waste** to the city, the survivors put some _flowers_ on the bodies of the _deceased_ and floated their bodies down the _stream_.;2) [[ziggr](http://kanji.koohii.com/profile/ziggr)] 28-8-2006(90): **Laying waste** is just a euphamism for flushing poop down the toilet. It smells nothing like _flowers_ , more like _deceased flowers_ , and it's flushed down into a _stream_ of sewage. Use "waste" to avoid [destroy](../v4/365.html) (#365 滅) [demolition](../v4/400.html) (#400 壊).;3) [[cheechuan](http://kanji.koohii.com/profile/cheechuan)] 29-10-2007(26): Hurricane Katrina **laid waste** to New Orleans….as a result, a _stream_ of _dead flowers_ floated into the sea.;4) [[nicjsb](http://kanji.koohii.com/profile/nicjsb)] 8-9-2008(15): I **laid** my **waste** in the toilet, sprayed some _flower_ -scented air freshener, then _perished_ the **waste** I **laid** with the toilet's _stream_.;5) [[uberclimber](http://kanji.koohii.com/profile/uberclimber)] 11-10-2010(6): The army that **laid waste** the entire region left nothing but _flowers_ marking where thousands _perish_ ed and blood flowed in _streams_. 荒い あらい rough, rude, wild, 荒っぽい (あらっぽい) : rough, rude, 荒廃 (こうはい) : ruin, 荒らす (あらす) : to lay waste, to devastate, to damage, to invade, to break into, 荒れる (あれる) : be stormy, lose one's temper.
望;ambition;The story of **ambition** talks of a _king_ walking under the _perishing_  (or "waning") _moon_ dreaming great dreams about his kingdom. (The roots of **ambition** are from the same word as  "ambulate," meaning to walk about.);;1) [[AndamanIslander](http://kanji.koohii.com/profile/AndamanIslander)] 4-2-2008(238): You're _dead meat_ , buddy, my **ambition** is to be _king_.;2) [[CountPacula](http://kanji.koohii.com/profile/CountPacula)] 28-4-2008(140): The **ambitions** of _kings_ often result in _dead_ _bodies_.;3) [[watanuki](http://kanji.koohii.com/profile/watanuki)] 2-11-2007(39): The _king_ had great **ambition** to have a son, but after certain _part of his body_ _perished_ he lost all hope.;4) [[ashman63](http://kanji.koohii.com/profile/ashman63)] 15-4-2008(24): The _king_ 's one **ambition** , before he _perishes_ , is to go to the _moon_.;5) [[matstc](http://kanji.koohii.com/profile/matstc)] 31-12-2008(22): He who has **ambition** must be prepared to walk over the _dead_ _body_ of the previous _king_.
方;direction;Spinning a _dagger_ about on its hilt on the top of a _top hat_  \- waiting to see in which **direction** it points when it comes to rest - one leaves to fate where one is going next. Take care in writing this character.;* As a primitive, this character will take the sense of a _compass_ , the instrument used to determine _direction_.;1) [[Deonnn](http://kanji.koohii.com/profile/Deonnn)] 9-12-2007(147): Note: The primitives are _top hat_ and _bound up_. Compare [ten thousand](../v4/64.html) (#64 万). Story: A rich man wearing a _top hat_ and _bound up_ from head to toe hobbles up to you and asks for **directions** to the nearest police station because he just escaped from his kidnappers.;2) [[CSBarnes](http://kanji.koohii.com/profile/CSBarnes)] 15-12-2008(49): I always keep my **directions** _bound_ to the bottom of my _top hat_ so I won't lose them.;3) [[decamer0n](http://kanji.koohii.com/profile/decamer0n)] 5-1-2007(15): To find the **direction** , the magician waved his _top hat_ over his _dagger_ to make it function as a makeshift magical compass.;4) [[ernest](http://kanji.koohii.com/profile/ernest)] 18-9-2007(11): Is that a DAGGER under your HAT, of are you just happy to see me? Give me some **DIRECTION** here.;5) [[sethimayne](http://kanji.koohii.com/profile/sethimayne)] 6-8-2009(9): I always have a _compass_ _bound_ underneath my _top hat_ , so I know I'm always headed in the right _direction_.
